83	 1.0200000000e+002	 9.99410e-001
84	 1.0300000000e+002	 9.99435e-001
85	 1.0400000000e+002	 9.99425e-001
86	 1.0500000000e+002	 9.99418e-001
87	 1.0600000000e+002	 9.99419e-001
88	 1.0700000000e+002	 9.99396e-001
89	 1.0800000000e+002	 9.99411e-001
90	 1.0900000000e+002	 9.99442e-001
91	 1.1000000000e+002	 9.99438e-001
92	 1.1100000000e+002	 9.99442e-001
93	 1.1200000000e+002	 9.99429e-001
94	 1.1300000000e+002	 9.99407e-001
95	 1.1400000000e+002	 9.99401e-001
96	 1.1500000000e+002	 9.99357e-001
97	 1.1600000000e+002	 9.99313e-001
98	 1.1700000000e+002	 9.99329e-001
99	 1.1800000000e+002	 9.99313e-001
100	 1.1900000000e+002	 9.99275e-001
101	 1.2000000000e+002	 9.99241e-001
102	 1.2100000000e+002	 9.99192e-001
103	 1.2200000000e+002	 9.99131e-001
104	 1.2300000000e+002	 9.99076e-001
105	 1.2400000000e+002	 9.98976e-001
106	 1.2500000000e+002	 9.98828e-001
107	 1.2600000000e+002	 9.98768e-001
108	 1.2700000000e+002	 9.98693e-001
109	 1.2800000000e+002	 9.98522e-001
110	 1.2900000000e+002	 9.98293e-001
111	 1.3000000000e+002	 9.98008e-001
112	 1.3100000000e+002	 9.97685e-001
113	 1.3200000000e+002	 9.97300e-001
114	 1.3300000000e+002	 9.96726e-001
115	 1.3400000000e+002	 9.95869e-001
116	 1.3500000000e+002	 9.94794e-001
117	 1.3600000000e+002	 9.93620e-001
118	 1.3700000000e+002	 9.92064e-001
119	 1.3800000000e+002	 9.89837e-001
120	 1.3900000000e+002	 9.86100e-001
121	 1.4000000000e+002	 9.80345e-001
122	 1.4100000000e+002	 9.71007e-001
123	 1.4200000000e+002	 9.54825e-001
124	 1.4300000000e+002	 9.22030e-001
125	 1.4400000000e+002	 8.61936e-001
126	 1.4500000000e+002	 8.36564e-001
127	 1.4600000000e+002	 8.97335e-001
128	 1.4700000000e+002	 9.45439e-001
129	 1.4800000000e+002	 9.69899e-001
130	 1.4900000000e+002	 9.81744e-001
131	 1.5000000000e+002	 9.86836e-001
132	 1.5100000000e+002	 9.90173e-001
133	 1.5200000000e+002	 9.92473e-001
134	 1.5300000000e+002	 9.94060e-001
135	 1.5400000000e+002	 9.95005e-001
136	 1.5500000000e+002	 9.95440e-001
137	 1.5600000000e+002	 9.95708e-001
138	 1.5700000000e+002	 9.96139e-001
139	 1.5800000000e+002	 9.96670e-001
140	 1.5900000000e+002	 9.97237e-001
141	 1.6000000000e+002	 9.97775e-001
142	 1.6100000000e+002	 9.98177e-001
143	 1.6200000000e+002	 9.98491e-001
144	 1.6300000000e+002	 9.98731e-001
145	 1.6400000000e+002	 9.98920e-001
146	 1.6500000000e+002	 9.99088e-001
147	 1.6600000000e+002	 9.99191e-001
148	 1.6700000000e+002	 9.99215e-001
149	 1.6800000000e+002	 9.99189e-001
150	 1.6900000000e+002	 9.99148e-001
151	 1.7000000000e+002	 9.99119e-001
152	 1.7100000000e+002	 9.99096e-001
153	 1.7200000000e+002	 9.99067e-001
